"route_id","lon","lat","split","wc2.1_10m_bio_2","wc2.1_10m_bio_3","wc2.1_10m_bio_5","wc2.1_10m_bio_8","wc2.1_10m_bio_9","wc2.1_10m_bio_13","wc2.1_10m_bio_15","wc2.1_10m_bio_18","y"
"6340544",-111.51741,49.75642,"training",13.2987289428711,32.4025344848633,25.7714996337891,15.454291343689,-0.653791606426239,63,48.6617050170898,132,0
"6340545",-113.78431,49.74948,"training",12.3656463623047,33.334400177002,23.5195007324219,12.8827075958252,-6.37625026702881,107,58.2842636108398,208,0
"6340546",-110.32547,50.55749,"evaluation_excluded",13.4818544387817,30.3365230560303,26.4172496795654,15.3562917709351,-10.3017082214355,67,64.0174407958984,149,0
"6340547",-112.99408,50.60144,"evaluation_excluded",13.2113122940063,32.177978515625,24.6102504730225,14.382833480835,-8.57908344268799,73,59.2998695373535,168,0
"6340548",-113.39054,50.01932,"evaluation_excluded",13.4701671600342,33.6775207519531,24.4050006866455,14.1168327331543,-7.38808345794678,86,62.1603507995605,181,0
"6340549",-110.91913,51.44452,"testing",13.4412508010864,29.1257667541504,25.2512493133545,16.5792503356934,-10.5746669769287,69,70.2559051513672,165,0
"6340550",-111.47615,51.41613,"testing",13.9437084197998,29.7213726043701,26.1037502288818,16.9327507019043,-10.210750579834,65,71.5259094238281,165,0
"6340551",-112.04431,51.32885,"testing",13.938645362854,30.7859477996826,25.9925003051758,16.8604583740234,-11.3121671676636,68,64.0414657592773,165,0
"6340552",-114.25969,51.32922,"evaluation_excluded",13.6849374771118,35.5566062927246,21.7840003967285,13.8064994812012,-8.51749992370605,91,71.1726837158203,229,0
"6340553",-114.40958,52.40635,"evaluation_excluded",12.5313959121704,31.4760341644287,21.4802494049072,14.3275413513184,-10.8944997787476,101,69.8357391357422,272,0
"6340554",-113.19621,53.1343,"testing",11.4957084655762,28.328332901001,21.9152507781982,15.1889591217041,-11.6517915725708,98,66.7080535888672,238,0
"6340555",-114.48941,54.34059,"evaluation_excluded",12.6929578781128,28.9555568695068,21.8169994354248,14.7592496871948,-11.0995416641235,102,70.4512100219727,272,0
"6340556",-114.079114,49.875772,"training",11.8099794387817,33.2961540222168,21.4505004882812,10.8633337020874,-7.0062084197998,104,46.9785804748535,213,0
"6340557",-112.17449,50.92147,"evaluation_excluded",13.9717502593994,31.5085334777832,25.900749206543,14.8672914505005,-10.5422086715698,67,60.1579856872559,155,0
"6340558",-111.19086,51.27059,"testing",13.8616456985474,29.9125938415527,26.107250213623,14.8039999008179,-9.8953332901001,69,69.9757919311523,163,0
"6340559",-113.21913,52.20114,"testing",12.1907501220703,30.2840042114258,22.8134994506836,15.2795000076294,-10.4773330688477,93,69.8961639404297,241,0
"6340560",-114.17258,53.01772,"evaluation_excluded",12.0029373168945,30.841609954834,21.4079990386963,14.354832649231,-9.94149971008301,103,65.5095825195312,265,0
